country_code,TZ_database_name,UTC_offset_STD,time_zone_STD
"CI,?BF,?GH,?GM,?GN,?IS,?ML,?MR,?SH,?SL,?SN,?TG",Africa/Abidjan,+00:00,GMT
GH,Africa/Accra,+00:00,GMT
ET,Africa/Addis_Ababa,+03:00,EAT
DZ,Africa/Algiers,+01:00,CET
ER,Africa/Asmara,+03:00,EAT
ER,Africa/Asmera,+03:00,EAT
ML,Africa/Bamako,+00:00,GMT
CF,Africa/Bangui,+01:00,WAT
GM,Africa/Banjul,+00:00,GMT
GW,Africa/Bissau,+00:00,GMT
MW,Africa/Blantyre,+02:00,CAT
CG,Africa/Brazzaville,+01:00,WAT
BI,Africa/Bujumbura,+02:00,CAT
EG,Africa/Cairo,+02:00,EET
MA,Africa/Casablanca,+01:00,1
ES,Africa/Ceuta,+01:00,CET
GN,Africa/Conakry,+00:00,GMT
SN,Africa/Dakar,+00:00,GMT
TZ,Africa/Dar_es_Salaam,+03:00,EAT
DJ,Africa/Djibouti,+03:00,EAT
CM,Africa/Douala,+01:00,WAT
EH,Africa/El_Aaiun,+01:00,1
SL,Africa/Freetown,+00:00,GMT
BW,Africa/Gaborone,+02:00,CAT
ZW,Africa/Harare,+02:00,CAT
"ZA,?LS,?SZ",Africa/Johannesburg,+02:00,SAST
SS,Africa/Juba,+02:00,CAT
UG,Africa/Kampala,+03:00,EAT
SD,Africa/Khartoum,+02:00,CAT
RW,Africa/Kigali,+02:00,CAT
CD,Africa/Kinshasa,+01:00,WAT
"NG,?AO,?BJ,?CD,?CF,?CG,?CM,?GA,?GQ,?NE",Africa/Lagos,+01:00,WAT
GA,Africa/Libreville,+01:00,WAT
TG,Africa/Lome,+00:00,GMT
AO,Africa/Luanda,+01:00,WAT
CD,Africa/Lubumbashi,+02:00,CAT
ZM,Africa/Lusaka,+02:00,CAT
GQ,Africa/Malabo,+01:00,WAT
"MZ,?BI,?BW,?CD,?MW,?RW,?ZM,?ZW",Africa/Maputo,+02:00,CAT
LS,Africa/Maseru,+02:00,SAST
SZ,Africa/Mbabane,+02:00,SAST
SO,Africa/Mogadishu,+03:00,EAT
LR,Africa/Monrovia,+00:00,GMT
"KE,?DJ,?ER,?ET,?KM,?MG,?SO,?TZ,?UG,?YT",Africa/Nairobi,+03:00,EAT
TD,Africa/Ndjamena,+01:00,WAT
NE,Africa/Niamey,+01:00,WAT
MR,Africa/Nouakchott,+00:00,GMT
BF,Africa/Ouagadougou,+00:00,GMT
BJ,Africa/Porto-Novo,+01:00,WAT
ST,Africa/Sao_Tome,+00:00,GMT
ML,Africa/Timbuktu,+00:00,GMT
LY,Africa/Tripoli,+02:00,EET
TN,Africa/Tunis,+01:00,CET
NA,Africa/Windhoek,+02:00,CAT
US,America/Adak,?10:00,HST
US,America/Anchorage,?09:00,AKST
AI,America/Anguilla,?04:00,AST
AG,America/Antigua,?04:00,AST
BR,America/Araguaina,?03:00,-3
AR,America/Argentina/Buenos_Aires,?03:00,-3
AR,America/Argentina/Catamarca,?03:00,-3
AR,America/Argentina/ComodRivadavia,?03:00,-3
AR,America/Argentina/Cordoba,?03:00,-3
AR,America/Argentina/Jujuy,?03:00,-3
AR,America/Argentina/La_Rioja,?03:00,-3
AR,America/Argentina/Mendoza,?03:00,-3
AR,America/Argentina/Rio_Gallegos,?03:00,-3
AR,America/Argentina/Salta,?03:00,-3
AR,America/Argentina/San_Juan,?03:00,-3
AR,America/Argentina/San_Luis,?03:00,-3
AR,America/Argentina/Tucuman,?03:00,-3
AR,America/Argentina/Ushuaia,?03:00,-3
AW,America/Aruba,?04:00,AST
PY,America/Asuncion,?04:00,-4
CA,America/Atikokan,?05:00,EST
US,America/Atka,?10:00,HST
BR,America/Bahia,?03:00,-3
MX,America/Bahia_Banderas,?06:00,CST
BB,America/Barbados,?04:00,AST
BR,America/Belem,?03:00,-3
BZ,America/Belize,?06:00,CST
CA,America/Blanc-Sablon,?04:00,AST
BR,America/Boa_Vista,?04:00,-4
CO,America/Bogota,?05:00,-5
US,America/Boise,?07:00,MST
AR,America/Buenos_Aires,?03:00,-3
CA,America/Cambridge_Bay,?07:00,MST
BR,America/Campo_Grande,?04:00,-4
MX,America/Cancun,?05:00,EST
VE,America/Caracas,?04:00,-4
AR,America/Catamarca,?03:00,-3
GF,America/Cayenne,?03:00,-3
KY,America/Cayman,?05:00,EST
US,America/Chicago,?06:00,CST
MX,America/Chihuahua,?06:00,CST
MX,America/Ciudad_Juarez,?07:00,MST
CA,America/Coral_Harbour,?05:00,EST
AR,America/Cordoba,?03:00,-3
CR,America/Costa_Rica,?06:00,CST
CA,America/Creston,?07:00,MST
BR,America/Cuiaba,?04:00,-4
CW,America/Curacao,?04:00,AST
GL,America/Danmarkshavn,+00:00,GMT
CA,America/Dawson,?07:00,MST
CA,America/Dawson_Creek,?07:00,MST
US,America/Denver,?07:00,MST
US,America/Detroit,?05:00,EST
DM,America/Dominica,?04:00,AST
CA,America/Edmonton,?07:00,MST
BR,America/Eirunepe,?05:00,-5
SV,America/El_Salvador,?06:00,CST
MX,America/Ensenada,?08:00,PST
CA,America/Fort_Nelson,?07:00,MST
US,America/Fort_Wayne,?05:00,EST
BR,America/Fortaleza,?03:00,-3
CA,America/Glace_Bay,?04:00,AST
GL,America/Godthab,?03:00,-3
CA,America/Goose_Bay,?04:00,AST
TC,America/Grand_Turk,?05:00,EST
GD,America/Grenada,?04:00,AST
GP,America/Guadeloupe,?04:00,AST
GT,America/Guatemala,?06:00,CST
EC,America/Guayaquil,?05:00,-5
GY,America/Guyana,?04:00,-4
CA,America/Halifax,?04:00,AST
CU,America/Havana,?05:00,CST
MX,America/Hermosillo,?07:00,MST
US,America/Indiana/Indianapolis,?05:00,EST
US,America/Indiana/Knox,?06:00,CST
US,America/Indiana/Marengo,?05:00,EST
US,America/Indiana/Petersburg,?05:00,EST
US,America/Indiana/Tell_City,?06:00,CST
US,America/Indiana/Vevay,?05:00,EST
US,America/Indiana/Vincennes,?05:00,EST
US,America/Indiana/Winamac,?05:00,EST
US,America/Indianapolis,?05:00,EST
CA,America/Inuvik,?07:00,MST
CA,America/Iqaluit,?05:00,EST
JM,America/Jamaica,?05:00,EST
AR,America/Jujuy,?03:00,-3
US,America/Juneau,?09:00,AKST
US,America/Kentucky/Louisville,?05:00,EST
US,America/Kentucky/Monticello,?05:00,EST
US,America/Knox_IN,?06:00,CST
BQ,America/Kralendijk,?04:00,AST
BO,America/La_Paz,?04:00,-4
PE,America/Lima,?05:00,-5
US,America/Los_Angeles,?08:00,PST
US,America/Louisville,?05:00,EST
SX,America/Lower_Princes,?04:00,AST
BR,America/Maceio,?03:00,-3
NI,America/Managua,?06:00,CST
BR,America/Manaus,?04:00,-4
MF,America/Marigot,?04:00,AST
MQ,America/Martinique,?04:00,AST
MX,America/Matamoros,?06:00,CST
MX,America/Mazatlan,?07:00,MST
AR,America/Mendoza,?03:00,-3
US,America/Menominee,?06:00,CST
MX,America/Merida,?06:00,CST
US,America/Metlakatla,?09:00,AKST
MX,America/Mexico_City,?06:00,CST
PM,America/Miquelon,?03:00,-3
CA,America/Moncton,?04:00,AST
MX,America/Monterrey,?06:00,CST
UY,America/Montevideo,?03:00,-3
CA,America/Montreal,?05:00,EST
MS,America/Montserrat,?04:00,AST
BS,America/Nassau,?05:00,EST
US,America/New_York,?05:00,EST
CA,America/Nipigon,?05:00,EST
US,America/Nome,?09:00,AKST
BR,America/Noronha,?02:00,-2
US,America/North_Dakota/Beulah,?06:00,CST
US,America/North_Dakota/Center,?06:00,CST
US,America/North_Dakota/New_Salem,?06:00,CST
GL,America/Nuuk,?03:00,-3
MX,America/Ojinaga,?06:00,CST
"PA,?CA,?KY",America/Panama,?05:00,EST
CA,America/Pangnirtung,?05:00,EST
SR,America/Paramaribo,?03:00,-3
"US,?CA",America/Phoenix,?07:00,MST
HT,America/Port-au-Prince,?05:00,EST
TT,America/Port_of_Spain,?04:00,AST
BR,America/Porto_Acre,?05:00,-5
BR,America/Porto_Velho,?04:00,-4
"PR,?AG,?CA,?AI,?AW,?BL,?BQ,?CW,?DM,?GD,?GP,?KN,?LC,?MF,?MS,?SX,?TT,?VC,?VG,?VI",America/Puerto_Rico,?04:00,AST
CL,America/Punta_Arenas,?03:00,-3
CA,America/Rainy_River,?06:00,CST
CA,America/Rankin_Inlet,?06:00,CST
BR,America/Recife,?03:00,-3
CA,America/Regina,?06:00,CST
CA,America/Resolute,?06:00,CST
BR,America/Rio_Branco,?05:00,-5
AR,America/Rosario,?03:00,-3
MX,America/Santa_Isabel,?08:00,PST
BR,America/Santarem,?03:00,-3
CL,America/Santiago,?04:00,-4
DO,America/Santo_Domingo,?04:00,AST
BR,America/Sao_Paulo,?03:00,-3
GL,America/Scoresbysund,?01:00,-1
US,America/Shiprock,?07:00,MST
US,America/Sitka,?09:00,AKST
BL,America/St_Barthelemy,?04:00,AST
CA,America/St_Johns,?03:30,NST
KN,America/St_Kitts,?04:00,AST
LC,America/St_Lucia,?04:00,AST
VI,America/St_Thomas,?04:00,AST
VC,America/St_Vincent,?04:00,AST
CA,America/Swift_Current,?06:00,CST
HN,America/Tegucigalpa,?06:00,CST
GL,America/Thule,?04:00,AST
CA,America/Thunder_Bay,?05:00,EST
MX,America/Tijuana,?08:00,PST
"CA,?BS",America/Toronto,?05:00,EST
VG,America/Tortola,?04:00,AST
CA,America/Vancouver,?08:00,PST
VI,America/Virgin,?04:00,AST
CA,America/Whitehorse,?07:00,MST
CA,America/Winnipeg,?06:00,CST
US,America/Yakutat,?09:00,AKST
CA,America/Yellowknife,?07:00,MST
AQ,Antarctica/Casey,+11:00,11
AQ,Antarctica/Davis,+07:00,7
AQ,Antarctica/DumontDUrville,+10:00,10
AU,Antarctica/Macquarie,+10:00,AEST
AQ,Antarctica/Mawson,+05:00,5
AQ,Antarctica/McMurdo,+12:00,NZST
AQ,Antarctica/Palmer,?03:00,-3
AQ,Antarctica/Rothera,?03:00,-3
AQ,Antarctica/South_Pole,+12:00,NZST
AQ,Antarctica/Syowa,+03:00,3
AQ,Antarctica/Troll,+00:00,0
AQ,Antarctica/Vostok,+06:00,6
SJ,Arctic/Longyearbyen,+01:00,CET
YE,Asia/Aden,+03:00,3
KZ,Asia/Almaty,+06:00,6
JO,Asia/Amman,+03:00,3
RU,Asia/Anadyr,+12:00,12
KZ,Asia/Aqtau,+05:00,5
KZ,Asia/Aqtobe,+05:00,5
TM,Asia/Ashgabat,+05:00,5
TM,Asia/Ashkhabad,+05:00,5
KZ,Asia/Atyrau,+05:00,5
IQ,Asia/Baghdad,+03:00,3
BH,Asia/Bahrain,+03:00,3
AZ,Asia/Baku,+04:00,4
"TH,?CX,?KH,?LA,?VN",Asia/Bangkok,+07:00,7
RU,Asia/Barnaul,+07:00,7
LB,Asia/Beirut,+02:00,EET
KG,Asia/Bishkek,+06:00,6
BN,Asia/Brunei,+08:00,8
IN,Asia/Calcutta,+05:30,IST
RU,Asia/Chita,+09:00,9
MN,Asia/Choibalsan,+08:00,8
CN,Asia/Chongqing,+08:00,CST
CN,Asia/Chungking,+08:00,CST
LK,Asia/Colombo,+05:30,530
BD,Asia/Dacca,+06:00,6
SY,Asia/Damascus,+03:00,3
BD,Asia/Dhaka,+06:00,6
TL,Asia/Dili,+09:00,9
"AE,?OM,?RE,?SC,?TF",Asia/Dubai,+04:00,4
TJ,Asia/Dushanbe,+05:00,5
CY,Asia/Famagusta,+02:00,EET
PS,Asia/Gaza,+02:00,EET
CN,Asia/Harbin,+08:00,CST
PS,Asia/Hebron,+02:00,EET
VN,Asia/Ho_Chi_Minh,+07:00,7
HK,Asia/Hong_Kong,+08:00,HKT
MN,Asia/Hovd,+07:00,7
RU,Asia/Irkutsk,+08:00,8
TR,Asia/Istanbul,+03:00,3
ID,Asia/Jakarta,+07:00,WIB
ID,Asia/Jayapura,+09:00,WIT
IL,Asia/Jerusalem,+02:00,IST
AF,Asia/Kabul,+04:30,430
RU,Asia/Kamchatka,+12:00,12
PK,Asia/Karachi,+05:00,PKT
CN,Asia/Kashgar,+06:00,6
NP,Asia/Kathmandu,+05:45,545
NP,Asia/Katmandu,+05:45,545
RU,Asia/Khandyga,+09:00,9
IN,Asia/Kolkata,+05:30,IST
RU,Asia/Krasnoyarsk,+07:00,7
MY,Asia/Kuala_Lumpur,+08:00,8
"MY,?BN",Asia/Kuching,+08:00,8
KW,Asia/Kuwait,+03:00,3
MO,Asia/Macao,+08:00,CST
MO,Asia/Macau,+08:00,CST
RU,Asia/Magadan,+11:00,11
ID,Asia/Makassar,+08:00,WITA
PH,Asia/Manila,+08:00,PST
OM,Asia/Muscat,+04:00,4
CY,Asia/Nicosia,+02:00,EET
RU,Asia/Novokuznetsk,+07:00,7
RU,Asia/Novosibirsk,+07:00,7
RU,Asia/Omsk,+06:00,6
KZ,Asia/Oral,+05:00,5
KH,Asia/Phnom_Penh,+07:00,7
ID,Asia/Pontianak,+07:00,WIB
KP,Asia/Pyongyang,+09:00,KST
"QA,?BH",Asia/Qatar,+03:00,3
KZ,Asia/Qostanay,+06:00,6
KZ,Asia/Qyzylorda,+05:00,5
MM,Asia/Rangoon,+06:30,630
"SA,?AQ,?KW,?YE",Asia/Riyadh,+03:00,3
VN,Asia/Saigon,+07:00,7
RU,Asia/Sakhalin,+11:00,11
UZ,Asia/Samarkand,+05:00,5
KR,Asia/Seoul,+09:00,KST
CN,Asia/Shanghai,+08:00,CST
"SG,?MY",Asia/Singapore,+08:00,8
RU,Asia/Srednekolymsk,+11:00,11
TW,Asia/Taipei,+08:00,CST
UZ,Asia/Tashkent,+05:00,5
GE,Asia/Tbilisi,+04:00,4
IR,Asia/Tehran,+03:30,330
IL,Asia/Tel_Aviv,+02:00,IST
BT,Asia/Thimbu,+06:00,6
BT,Asia/Thimphu,+06:00,6
JP,Asia/Tokyo,+09:00,JST
RU,Asia/Tomsk,+07:00,7
ID,Asia/Ujung_Pandang,+08:00,WITA
MN,Asia/Ulaanbaatar,+08:00,8
MN,Asia/Ulan_Bator,+08:00,8
"CN,?AQ",Asia/Urumqi,+06:00,6
RU,Asia/Ust-Nera,+10:00,10
LA,Asia/Vientiane,+07:00,7
RU,Asia/Vladivostok,+10:00,10
RU,Asia/Yakutsk,+09:00,9
"MM,?CC",Asia/Yangon,+06:30,630
RU,Asia/Yekaterinburg,+05:00,5
AM,Asia/Yerevan,+04:00,4
PT,Atlantic/Azores,?01:00,-1
BM,Atlantic/Bermuda,?04:00,AST
ES,Atlantic/Canary,+00:00,WET
CV,Atlantic/Cape_Verde,?01:00,-1
FO,Atlantic/Faeroe,+00:00,WET
FO,Atlantic/Faroe,+00:00,WET
SJ,Atlantic/Jan_Mayen,+01:00,CET
PT,Atlantic/Madeira,+00:00,WET
IS,Atlantic/Reykjavik,+00:00,GMT
GS,Atlantic/South_Georgia,?02:00,-2
SH,Atlantic/St_Helena,+00:00,GMT
FK,Atlantic/Stanley,?03:00,-3
AU,Australia/ACT,+10:00,AEST
AU,Australia/Adelaide,+09:30,ACST
AU,Australia/Brisbane,+10:00,AEST
AU,Australia/Broken_Hill,+09:30,ACST
AU,Australia/Canberra,+10:00,AEST
AU,Australia/Currie,+10:00,AEST
AU,Australia/Darwin,+09:30,ACST
AU,Australia/Eucla,+08:45,845
AU,Australia/Hobart,+10:00,AEST
AU,Australia/LHI,+10:30,1030
AU,Australia/Lindeman,+10:00,AEST
AU,Australia/Lord_Howe,+10:30,1030
AU,Australia/Melbourne,+10:00,AEST
AU,Australia/North,+09:30,ACST
AU,Australia/NSW,+10:00,AEST
AU,Australia/Perth,+08:00,AWST
AU,Australia/Queensland,+10:00,AEST
AU,Australia/South,+09:30,ACST
AU,Australia/Sydney,+10:00,AEST
AU,Australia/Tasmania,+10:00,AEST
AU,Australia/Victoria,+10:00,AEST
AU,Australia/West,+08:00,AWST
AU,Australia/Yancowinna,+09:30,ACST
BR,Brazil/Acre,?05:00,-5
BR,Brazil/DeNoronha,?02:00,-2
BR,Brazil/East,?03:00,-3
BR,Brazil/West,?04:00,-4
CA,Canada/Atlantic,?04:00,AST
CA,Canada/Central,?06:00,CST
CA,Canada/Eastern,?05:00,EST
CA,Canada/Mountain,?07:00,MST
CA,Canada/Newfoundland,?03:30,NST
CA,Canada/Pacific,?08:00,PST
CA,Canada/Saskatchewan,?06:00,CST
CA,Canada/Yukon,?07:00,MST
CL,Chile/Continental,?04:00,-4
CL,Chile/EasterIsland,?06:00,-6
CU,Cuba,?05:00,CST
EG,Egypt,+02:00,EET
IE,Eire,+01:00,IST
NL,Europe/Amsterdam,+01:00,CET
AD,Europe/Andorra,+01:00,CET
RU,Europe/Astrakhan,+04:00,4
GR,Europe/Athens,+02:00,EET
GB,Europe/Belfast,+00:00,GMT
"RS,?BA,?HR,?ME,?MK,?SI",Europe/Belgrade,+01:00,CET
"DE,?DK,?NO,?SE,?SJ",Europe/Berlin,+01:00,CET
SK,Europe/Bratislava,+01:00,CET
"BE,?LU,?NL",Europe/Brussels,+01:00,CET
RO,Europe/Bucharest,+02:00,EET
HU,Europe/Budapest,+01:00,CET
DE,Europe/Busingen,+01:00,CET
MD,Europe/Chisinau,+02:00,EET
DK,Europe/Copenhagen,+01:00,CET
IE,Europe/Dublin,+01:00,IST
GI,Europe/Gibraltar,+01:00,CET
GG,Europe/Guernsey,+00:00,GMT
"FI,?AX",Europe/Helsinki,+02:00,EET
IM,Europe/Isle_of_Man,+00:00,GMT
TR,Europe/Istanbul,+03:00,3
JE,Europe/Jersey,+00:00,GMT
RU,Europe/Kaliningrad,+02:00,EET
UA,Europe/Kiev,+02:00,EET
RU,Europe/Kirov,+03:00,3
UA,Europe/Kyiv,+02:00,EET
PT,Europe/Lisbon,+00:00,WET
SI,Europe/Ljubljana,+01:00,CET
"GB,?GG,?IM,?JE",Europe/London,+00:00,GMT
LU,Europe/Luxembourg,+01:00,CET
ES,Europe/Madrid,+01:00,CET
MT,Europe/Malta,+01:00,CET
AX,Europe/Mariehamn,+02:00,EET
BY,Europe/Minsk,+03:00,3
MC,Europe/Monaco,+01:00,CET
RU,Europe/Moscow,+03:00,MSK
CY,Europe/Nicosia,+02:00,EET
NO,Europe/Oslo,+01:00,CET
"FR,?MC",Europe/Paris,+01:00,CET
ME,Europe/Podgorica,+01:00,CET
"CZ,?SK",Europe/Prague,+01:00,CET
LV,Europe/Riga,+02:00,EET
"IT,?SM,?VA",Europe/Rome,+01:00,CET
RU,Europe/Samara,+04:00,4
SM,Europe/San_Marino,+01:00,CET
BA,Europe/Sarajevo,+01:00,CET
RU,Europe/Saratov,+04:00,4
"RU,?UA",Europe/Simferopol,+03:00,MSK
MK,Europe/Skopje,+01:00,CET
BG,Europe/Sofia,+02:00,EET
SE,Europe/Stockholm,+01:00,CET
EE,Europe/Tallinn,+02:00,EET
AL,Europe/Tirane,+01:00,CET
MD,Europe/Tiraspol,+02:00,EET
RU,Europe/Ulyanovsk,+04:00,4
UA,Europe/Uzhgorod,+02:00,EET
LI,Europe/Vaduz,+01:00,CET
VA,Europe/Vatican,+01:00,CET
AT,Europe/Vienna,+01:00,CET
LT,Europe/Vilnius,+02:00,EET
RU,Europe/Volgograd,+03:00,3
PL,Europe/Warsaw,+01:00,CET
HR,Europe/Zagreb,+01:00,CET
UA,Europe/Zaporozhye,+02:00,EET
"CH,?DE,?LI",Europe/Zurich,+01:00,CET
GB,GB,+00:00,GMT
GB,GB-Eire,+00:00,GMT
HK,Hongkong,+08:00,HKT
IS,Iceland,+00:00,GMT
MG,Indian/Antananarivo,+03:00,EAT
IO,Indian/Chagos,+06:00,6
CX,Indian/Christmas,+07:00,7
CC,Indian/Cocos,+06:30,630
KM,Indian/Comoro,+03:00,EAT
TF,Indian/Kerguelen,+05:00,5
SC,Indian/Mahe,+04:00,4
"MV,?TF",Indian/Maldives,+05:00,5
MU,Indian/Mauritius,+04:00,4
YT,Indian/Mayotte,+03:00,EAT
RE,Indian/Reunion,+04:00,4
IR,Iran,+03:30,330
IL,Israel,+02:00,IST
JM,Jamaica,?05:00,EST
JP,Japan,+09:00,JST
MH,Kwajalein,+12:00,12
LY,Libya,+02:00,EET
MX,Mexico/BajaNorte,?08:00,PST
MX,Mexico/BajaSur,?07:00,MST
MX,Mexico/General,?06:00,CST
US,Navajo,?07:00,MST
NZ,NZ,+12:00,NZST
NZ,NZ-CHAT,+12:45,1245
WS,Pacific/Apia,+13:00,13
"NZ,?AQ",Pacific/Auckland,+12:00,NZST
PG,Pacific/Bougainville,+11:00,11
NZ,Pacific/Chatham,+12:45,1245
FM,Pacific/Chuuk,+10:00,10
CL,Pacific/Easter,?06:00,-6
VU,Pacific/Efate,+11:00,11
KI,Pacific/Enderbury,+13:00,13
TK,Pacific/Fakaofo,+13:00,13
FJ,Pacific/Fiji,+12:00,12
TV,Pacific/Funafuti,+12:00,12
EC,Pacific/Galapagos,?06:00,-6
PF,Pacific/Gambier,?09:00,-9
"SB,?FM",Pacific/Guadalcanal,+11:00,11
"GU,?MP",Pacific/Guam,+10:00,ChST
"US,?UM",Pacific/Honolulu,?10:00,HST
UM,Pacific/Johnston,?10:00,HST
KI,Pacific/Kanton,+13:00,13
KI,Pacific/Kiritimati,+14:00,14
FM,Pacific/Kosrae,+11:00,11
MH,Pacific/Kwajalein,+12:00,12
MH,Pacific/Majuro,+12:00,12
PF,Pacific/Marquesas,?09:30,-930
UM,Pacific/Midway,?11:00,SST
NR,Pacific/Nauru,+12:00,12
NU,Pacific/Niue,?11:00,-11
NF,Pacific/Norfolk,+11:00,11
NC,Pacific/Noumea,+11:00,11
"AS,?UM",Pacific/Pago_Pago,?11:00,SST
PW,Pacific/Palau,+09:00,9
PN,Pacific/Pitcairn,?08:00,-8
FM,Pacific/Pohnpei,+11:00,11
FM,Pacific/Ponape,+11:00,11
"PG,?AQ,?FM",Pacific/Port_Moresby,+10:00,10
CK,Pacific/Rarotonga,?10:00,-10
MP,Pacific/Saipan,+10:00,ChST
AS,Pacific/Samoa,?11:00,SST
PF,Pacific/Tahiti,?10:00,-10
"KI,?MH,?TV,?UM,?WF",Pacific/Tarawa,+12:00,12
TO,Pacific/Tongatapu,+13:00,13
FM,Pacific/Truk,+10:00,10
UM,Pacific/Wake,+12:00,12
WF,Pacific/Wallis,+12:00,12
FM,Pacific/Yap,+10:00,10
PL,Poland,+01:00,CET
PT,Portugal,+00:00,WET
CN,PRC,+08:00,CST
TW,ROC,+08:00,CST
KR,ROK,+09:00,KST
SG,Singapore,+08:00,8
TR,Turkey,+03:00,3
US,US/Alaska,?09:00,AKST
US,US/Aleutian,?10:00,HST
US,US/Arizona,?07:00,MST
US,US/Central,?06:00,CST
US,US/East-Indiana,?05:00,EST
US,US/Eastern,?05:00,EST
US,US/Hawaii,?10:00,HST
US,US/Indiana-Starke,?06:00,CST
US,US/Michigan,?05:00,EST
US,US/Mountain,?07:00,MST
US,US/Pacific,?08:00,PST
AS,US/Samoa,?11:00,SST
RU,W-SU,+03:00,MSK
